Name,Lat.,Long.,Diam. (km)
Haret,58.4S,175.6W,29
Hargreaves,2.2S,64.0E,16
Harkhebi,39.6N,98.3E,237
Harold,10.9S,6.0W,2
Harpalus,52.6N,43.4W,39
Harriot,33.1N,114.3E,56
Hartmann,3.2N,135.3E,61
Hartwig,6.1S,80.5W,79
Harvey,19.5N,146.5W,60
Hase,29.4S,62.5E,83
Hatanaka,29.7N,121.5W,26
Hausen,65.0S,88.1W,167
Hayford,12.7N,176.4W,27
Hayn,64.7N,85.2E,87
Healy,32.8N,110.5W,38
Heaviside,10.4S,167.1E,165
Hecataeus,21.8S,79.4E,167
Hédervári,81.8S,84.0E,69
Hedin,2.0N,76.5W,150
Heinrich,24.8N,15.3W,6
Heinsius,39.5S,17.7W,64
Heis,32.4N,31.9W,14
Helberg,22.5N,102.2W,62
Helicon,40.4N,23.1W,24
Hell,32.4S,7.8W,33
Helmert,7.6S,87.6E,26
Helmholtz,68.1S,64.1E,94
Henderson,4.8N,152.1E,47
Hendrix,46.6S,159.2W,18
Henry,24.0S,56.8W,41
Henry Fréres,23.5S,58.9W,42
Henyey,13.5N,151.6W,63
Heraclitus,49.2S,6.2E,90
Hercules,46.7N,39.1E,69
Herigonius,13.3S,33.9W,15
Hermann,0.9S,57.0W,15
Hermite,86.0N,89.9W,104
Herodotus,23.2N,49.7W,34
Heron,0.7N,119.8E,24
Herschel,5.7S,2.1W,40
Hertz,13.4N,104.5E,90
Hertzsprung,2.6N,129.2W,591
Hesiodus,29.4S,16.3W,42
Hess,54.3S,174.6E,88
Hevelius,2.2N,67.6W,115
Heymans,75.3N,144.1W,50
Heyrovsky,39.6S,95.3W,16
Hilbert,17.9S,108.2E,151
Hill,20.9N,40.8E,16
Hind,7.9S,7.4E,29
Hippalus,24.8S,30.2W,57
Hipparchus,5.1S,5.2E,138
Hippocrates,70.7N,145.9W,60
Hirayama,6.1S,93.5E,132
Hoffmeister,15.2N,136.9E,45
Hogg,33.6N,121.9E,38
Hohmann,17.9S,94.1W,16
Holden,19.1S,62.5E,47
Holetschek,27.6S,150.9E,38
Hommel,54.7S,33.8E,126
Hooke,41.2N,54.9E,36
Hopmann,50.8S,160.3E,88
Hornsby,23.8N,12.5E,3
Horrebow,58.7N,40.8W,24
Horrocks,4.0S,5.9E,30
Hortensius,6.5N,28.0W,14
Houtermans,9.4S,87.2E,29
Houzeau,17.1S,123.5W,71
Hubble,22.1N,86.9E,80
Huggins,41.1S,1.4W,65
Humason,30.7N,56.6W,4
Humboldt,27.0S,80.9E,189
Hume,4.7S,90.4E,23
Hutton,37.3N,168.7E,50
Huxley,20.2N,4.5W,4
Hyginus,7.8N,6.3E,9
Hypatia,4.3S,22.6E,40
,,,
Ian,25.7N,0.4W,1
Ibn Battuta,6.9S,50.4E,11
Ibn Firnas,6.8N,122.3E,89
Ibn Yunus,14.1N,91.1E,58
Ibn-Rushd,11.7S,21.7E,32
Icarus,5.3S,173.2W,96
Ideler,49.2S,22.3E,38
Idel'son,81.5S,110.9E,60
Il'in,17.8S,97.5W,13
Ina,49.2S,22.3E,38
Ingalls,26.4N,153.1W,37
Inghirami,47.5S,68.8W,91
Innes,27.8N,119.2E,42
Ioffe,14.4S,129.2W,86
Isabel,28.2N,34.1W,1
Isaev,17.5S,147.5E,90
Isidorus,8.0S,33.5E,42
Isis,18.9N,27.5E,1
Ivan,26.9N,43.3W,4
Izsak,23.3S,117.1E,30
,,,
J. Herschel,62.0N,42.0W,165
Jackson,22.4N,163.1W,71
Jacobi,56.7S,11.4E,68
Jansen,13.5N,28.7E,23
Jansky,8.5N,89.5E,72
Janssen,45.4S,40.3E,199
Jarvis,34.9S,148.9W,38
Jeans,55.8S,91.4E,79
Jehan,20.7N,31.9W,5
Jenkins,0.3N,78.1E,38
Jenner,42.1S,95.9E,71
Jerik,18.5N,27.6E,1
Joliot,25.8N,93.1E,164
Jomo,24.4N,1.6W,7
José,12.7S,1.6W,2
Joule,27.3N,144.2W,96
Joy,25.0N,6.6E,5
Jules Verne,35.0S,147.0E,143
Julienne,26.0N,3.2E,2
Julius Caesar,9.0N,15.4E,90
,,,
Kaiser,36.5S,6.5E,52
Kamerling Onnes,15.0N,115.8W,66
Kane,63.1N,26.1E,54
Kant,10.6S,20.1E,33
Kao,6.7S,87.6E,34
Kapteyn,10.8S,70.6E,49
Karima,25.9S,103.0E,3
Karpinskiy,73.3N,166.3E,92
Karrer,52.1S,141.8W,51
Kasper,8.3N,122.1E,12
Kästner,6.8S,78.5E,108
Katchalsky,5.9N,116.1E,32
Kathleen,5.9N,116.1E,32
Kearons,11.4S,112.6W,23
Keeler,10.2S,161.9E,160
Kekulé,16.4N,138.1W,94
Keldysh,51.2N,43.6E,33
Kepínski,28.8N,126.6E,31
Kepler,8.1N,38.0W,31
Khvol'son,13.8S,111.4E,54
Kibal'chich,3.0N,146.5W,92
Kidinnu,35.9N,122.9E,56
Kies,26.3S,22.5W,45
Kiess,6.4S,84.0E,63
Kimura,57.1S,118.4E,28
Kinau,60.8S,15.1E,41
King,5.0N,120.5E,76
Kira,17.6S,132.8E,3
Kirch,39.2N,5.6W,11
Kircher,67.1S,45.3W,72
Kirchhoff,30.3N,38.8E,24
Kirkwood,68.8N,156.1W,67
Klaproth,69.8S,26.0W,119
Klein,12.0S,2.6E,44
Kleymenov,32.4S,140.2W,55
Klute,37.2N,141.3W,75
Knox-Shaw,5.3N,80.2E,12
Koch,42.8S,150.1E,95
Kohlschütter,14.4N,154.0E,53
Kolhörster,11.2N,114.6W,97
Komarov,24.7N,152.5E,78
Kondratyuk,14.9S,115.5E,108
König,24.1S,24.6W,23
Konoplev,28.5S,125.5W,25
Konstantinov,19.8N,158.4E,66
Kopff,17.4S,89.6W,41
Korolev,4.0S,157.4W,437
Kosberg,20.2S,149.6E,15
Kostinskiy,14.7N,118.8E,75
Kovalevskaya,30.8N,129.6W,115
Koval'skij,21.9S,101.0E,49
Krafft,16.6N,72.6W,51
Kramarov,2.3S,98.8W,20
Kramers,53.6N,127.6W,61
Krasnov,29.9S,79.6W,40
Krasovskiy,3.9N,175.5W,59
Kreiken,9.0S,84.6E,23
Krieger,29.0N,45.6W,22
Krishna,24.5N,11.3E,3
Krogh,9.4N,65.7E,19
Krusenstern,26.2S,5.9E,47
Krylov,35.6N,165.8W,49
Kugler,53.8S,103.7E,65
Kuiper,9.8S,22.7W,6
Kulik,42.4N,154.5W,58
Kundt,11.5S,11.5W,10
Kunowsky,3.2N,32.5W,18
Kuo Shou Ching,8.4N,133.7W,34
Kurchatov,38.3N,142.1E,106
,,,
La Caille,23.8S,1.1E,67
La Condamine,53.4N,28.2W,37
La Pérouse,10.7S,76.3E,77
Lacchini,41.7N,107.5W,58
Lacroix,37.9S,59.0W,37
Lade,1.3S,10.1E,55
Lagalla,44.6S,22.5W,85
Lagrange,32.3S,72.8W,225
Lalande,4.4S,8.6W,24
Lallemand,14.3S,84.1W,18
Lamarck,22.9S,69.8W,100
Lamb,42.9S,100.1E,106
Lambert,25.8N,21.0W,30
Lamé,14.7S,64.5E,84
Lamèch,42.7N,13.1E,13
Lamont,4.4N,23.7E,106
Lampland,31.0S,131.0E,65
Landau,41.6N,118.1W,214
